Unnamed: 0,author_id,rating,is_recommended,helpfulness,total_feedback_count,total_neg_feedback_count,total_pos_feedback_count,submission_time,review_text,review_title,skin_tone,eye_color,skin_type,hair_color,product_id,product_name,brand_name,price_usd
2350,8632392756,5,1.0,0.5,4,2,2,2021-09-14,"I love this! I use it every night and it prevents my lips from being chapped. It is MUCH easier to apply lipstick now and it is especially helpful after wearing liquid lipstick. I prefer this over the Tatcha lip mask because it is much less sticky. also, this has a great smell.",Best Lip Mask - Needed If You Wear Liquid Lipstick,fair,blue,normal,red,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2351,27936384954,4,1.0,1.0,2,0,2,2021-09-14,"Got this product as a sample, love the smell, i wear it day and night and it makes my lips feel so soft.",love it!,mediumTan,brown,combination,brown,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2352,33249381001,5,1.0,1.0,1,0,1,2021-09-13,I love this product. It keeps my lips while I sleep. I gave it as a gift to two other people. It comes in different flavors. The best flavor is grapefruit which was a special purchase in 1999.,Keeps my lips moist all the time.,olive,brown,combination,gray,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2353,2151714133,5,1.0,,0,0,0,2021-09-13,Je l’adore ! Mes lèvres sont douces et repulpee.J’ai souvent les lèvres sèches se produit m’aide vraiment.,,lightMedium,hazel,normal,black,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2354,23313192506,3,0.0,0.0,2,2,0,2021-09-12,"Reviews were right, the peach iced tea has 1/5 scent. Formula is nice.",Peach very lightly scented.,light,brown,dry,brown,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2355,21632409005,4,1.0,0.9210529923439026,38,3,35,2021-09-12,"Good product, thick, creamy, smooth on the lips, lasts a couple hours, BUT the Jack Black intense therapy lip balm in Shea butter is a major dupe for this and it’s only $8. Honestly, I prefer my Jack Black lip balm in over this as it lasts longer and leaves my lips smoother. (Seriously it’s that good)",Good but there’s better,fair,hazel,combination,blonde,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2356,1420780329,5,1.0,0.8333330154418945,6,1,5,2021-09-12,The LANEIGE Lip Sleeping Mask Limited Edition Sweet Candy 0.70 oz/ 20 g  is one of the best lip masks I have tried. It leaves your lips super soft and hydrated. My lips always look plumper and smoother after using it for a few nights. I like it so much I have a jar at my desk to put on at work too.,Leaves Lips Soft,fairLight,hazel,dry,blonde,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2357,8425365560,1,0.0,0.4545449912548065,22,12,10,2021-09-11,"PLEASE avoid if you have sensitive or very dry and reactive lips. Not only is it difficult to coat on and incredibly sticky, it wears off much quicker overnight than plain old Vaseline so it’s not very moisturizing. It’s worth saying that after a while of not using it, reapplying it actually blistered my lips and stripped the skin off. It took me four months to repair the damage to a manageable level with prescription topical cream, and it’s still not 100%. *But* as noted, I have VERY sensitive lips and sometimes get eczema flareups, so if you’re anything like me, please don’t risk it. This obviously won’t be most people’s experience!",sticky and hard to coat; ruined my lips for months,fairLight,blue,combination,brown,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2358,22811403292,4,1.0,,0,0,0,2021-09-11,It’s a good product! But it does the same as any other lip balm before bed. So it’s nothing special. Love the scent though!,good but not special,tan,brown,combination,black,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
2359,32934676052,5,1.0,0.052631601691246,19,18,1,2021-09-10,I’ve been using this product for around a year and it’s totally changed my lips. I used to be insecure about the fact that I pretty much didn’t have lips - and it was even worse when I smiled. Now I have large lips and am very happy about them. :’)I was glad when they came out with more flavors. The original is nice. I prefer the new vanilla. :),Amazing product and flavor,fair,hazel,combination,auburn,P420652,Lip Sleeping Mask Intense Hydration with Vitamin C,LANEIGE,24.0
